All molecules,SMILES,B3LYP_H(𝜂),B3LYP_EN(𝜒)
1,C[N+](C)(C)CCO,3.79326916,7.99198818
2,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,2.30752672,3.22182976
3,CCC1(C(=O)NC(=O)NC1=O)CC,3.00413856,4.73206246
4,C([C@@H](C(=O)O)N)C(=O)O,3.15788297,3.95245585
5,CC(CC1=CC=CC=C1)N,3.08305162,3.58646252
6,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,2.66535663,3.18781551
7,CC(=O)OCC[N+](C)(C)C,3.38645873,7.60694687
8,C1=CC(=CC=C1CCN)O,2.76467824,3.34972334
9,C(CS(=O)(=O)O)N,3.32795422,4.05721974
10,C1=CC2=C(C=C1O)C(=CN2)CCN,2.45038657,3.14971955
11,C1=CC=C(C=C1)CCN,3.11298416,3.54564542
12,C1=CC(=C(C=C1[C@H](CN)O)O)O,2.68440461,3.26128629
13,C1=CC(=CC(=C1)O)CCN,2.86536042,3.43407868
14,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,2.08303267,4.22184871
15,C(CC(=O)O)[C@@H](C(=O)O)N,3.16468582,3.95109528
16,C1=CC(=C(C=C1CCN)O)O,2.68440461,3.29121883
17,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,2.312969,4.33749716
18,C(CC(=O)O)CN,3.1565224,3.58918366
19,C(CS(=O)(=O)O)N=C(N)N,2.90889866,3.5510877
20,CN1CCC[C@H]1C2=CN=CC=C2,2.62181839,3.57693853
21,C[C@H]1[C@@H](C[C@H](O1)C[N+](C)(C)C)O,3.4286364,7.24367468
22,CC[N+](CC)(CC)CCOC(C)=O,3.74973092,7.47769272
23,CC[N+](C)(C)COC(C)=O,3.85585538,8.14437202
24,CC[N+](C)(C)CCOC(C)=O,3.77013947,7.70218677
25,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,2.46671341,3.00005685
26,C1CCN(C1)CC#CCN2CCCC2=O,2.88576897,3.37557417
27,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.65583264,3.70347154
28,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,2.80685591,3.42727583
29,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.08575381,4.00415751
30,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2.66535663,3.69666869
31,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,2.39052149,3.22591147
32,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.08575381,4.00415751
33,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,2.62181839,3.33747821
34,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,2.49800652,2.96332146
35,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,2.26262791,3.42727583
36,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,2.80685591,3.42727583
37,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,2.58780414,3.1157053
38,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,2.70889487,3.14971955
39,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2.53746305,3.38917987
40,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,2.06534526,3.79054802
41,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,2.46671341,2.99461457
42,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31,2.37419465,3.53340029
43,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,2.10344122,4.30484348
44,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,2.38235807,3.17965209
45,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,2.51977564,3.31706966
